id,budget,cengci,original_language,popularity,production_countries,runtime,spoken_languages,status,cast,crew,revenue,Adventure,Horror,Comedy,Fantasy,Thriller,Drama,Action,Crime,SVD_production_companies_name_0,SVD_production_companies_name_1,SVD_production_companies_name_2,SVD_production_companies_name_3,SVD_production_companies_name_4,SVD_production_companies_num_0,SVD_production_companies_num_1,SVD_production_companies_num_2,SVD_production_companies_num_3,SVD_production_companies_num_4,SVD_Keywords_num_0,SVD_Keywords_num_1,SVD_Keywords_num_2,SVD_Keywords_num_3,SVD_Keywords_num_4,SVD_Keywords_name_0,SVD_Keywords_name_1,SVD_Keywords_name_2,SVD_Keywords_name_3,SVD_Keywords_name_4,SVD_overview_0,SVD_overview_1,SVD_overview_2,SVD_overview_3,SVD_overview_4,SVD_tagline_0,SVD_tagline_1,SVD_tagline_2,SVD_tagline_3,SVD_tagline_4,SVD_title_0,SVD_title_1,SVD_title_2,SVD_title_3,SVD_title_4
0,150000000,1,en,7.739904,2,99,1,Released,18,31,301000000,1,0,0,0,0,0,0,0,4.05E-16,0.204000283,0.051124499,0.230792402,-0.025451749,-6.63E-16,0.023110937,0.255694611,-0.00649375,-0.008975621,0,0.000548244,0.000959751,0.011732611,-0.003846768,0,0.024284381,0.032515742,-0.094395412,0.122767308,0.231034533,-0.075000454,-0.04073606,-0.054963217,0.054891156,0,0.129359331,-0.090311514,-0.05583509,-0.036589934,0.260041096,0.192374497,-0.0182969,-0.029015355,-0.02183912
1,35000000,-99,en,7.79014,2,122,3,Released,26,65,74558115,0,1,0,0,1,0,0,0,7.19E-20,0.217644235,0.567080596,-0.283280077,-0.085465648,-3.07E-18,0.001735083,0.014668826,0.003651768,0.444218653,-8.23E-21,0.000486975,0.001277561,0.001516799,0.000864499,-2.51E-17,0.049298218,0.061952341,-0.139267944,-0.114950304,0.125873819,-0.030173251,-0.027071328,-0.049593397,-0.005906398,3.5E-21,0.19915551,-0.05836445,-0.044595137,-0.05229307,0.015709125,-0.010947872,-0.007233829,-0.004982548,-0.006996822
2,4000000,-99,en,5.032469,1,108,1,Released,18,25,56666667,0,0,1,0,0,1,0,0,1.65E-19,0.03776208,0.031160375,0.014460659,0.015195371,2.02E-29,-4.11E-20,2.42E-19,8.74E-17,1.52E-16,-2.45E-20,0.001447126,0.003722814,0.004908381,0.003632192,-1.23E-17,0.024115568,0.033591784,-0.063914515,-0.070838011,0.106365493,0.002778703,-0.025401087,0.144246211,0.062017876,3.09E-21,0.175692513,-0.101484414,-0.042982959,0.024037531,0.010656759,-0.016110282,-0.002121496,0.034711179,0.043332291
3,72500000,3,en,6.936688,1,116,1,Released,24,14,162966177,0,0,1,0,0,0,0,0,4.84E-19,0.30307773,-0.016619793,-0.019031887,0.03878042,2.44E-16,0.018817346,-0.001398891,-0.000312019,-0.0000661,-2.75E-19,0.01601863,0.010222371,0.180489554,-0.060515566,-1.99E-17,0.038808409,0.037250145,-0.076890487,-0.048636901,0.172710587,-0.042055326,-0.066896781,0.18684655,0.060420392,5.65E-21,0.321273628,-0.0804945,-0.063110083,0.04217022,0.181426148,0.138956923,-0.014066938,-0.001085205,-0.011367307
4,20000000,-99,en,3.782547,1,96,1,Released,19,15,22471595,0,0,0,1,0,0,0,0,5.06E-19,0.58665697,-0.258449815,-0.049953199,0.201595775,1.28E-14,0.988094549,-0.075717894,-0.011084458,-0.002357978,-3E-20,0.001757062,0.002659324,0.003896534,0.000793962,-4.29E-18,0.008430703,0.011282012,-0.0230214,0.008066498,0.076255779,0.005205015,0.051022831,0.011601175,0.060115728,8.81E-22,0.050094667,0.004215301,0.000380117,-0.012914729,3.3E-31,4.36E-22,1.7E-18,-3.52E-18,-1.16E-19
5,3300000,2,en,5.840554,1,83,1,Released,9,45,64110728,0,1,0,0,1,0,0,0,1.74E-19,0.064542281,0.046455721,0.018665933,0.045042297,1.05E-16,0.008104477,-0.000559386,-0.0000917,0.000199462,-1.04E-19,0.006036882,0.001155802,0.012719088,0.004729887,-9.56E-18,0.018633914,0.01541853,-0.053960568,-0.031212921,0.246610254,0.033654474,-0.034715295,0.203749893,-0.059599791,7.52E-22,0.042766217,0.0375917,-0.018243857,-0.011450639,0.189756324,-0.074713793,-0.016833582,-0.019881907,-0.017823638
6,0,-99,en,4.582718,1,105,2,Released,27,32,22697691,0,0,1,0,0,1,0,0,6.72E-21,0.178614361,0.431322464,-0.204891867,-0.051898487,-2.29E-18,0.001292849,0.01093083,0.002722708,0.331229052,-2.15E-21,0.000126529,0.000229343,0.000625578,0.000272418,-9.25E-18,0.01817332,0.024304518,-0.049967964,-0.061136091,0.167248428,0.004530676,-0.038716508,0.153835846,0.027157904,-99,-99,-99,-99,-99,0.015885563,-0.014444526,-0.004181457,0.041920067,0.026855335
7,100000000,1,en,23.247298,2,124,1,Released,27,22,142337240,1,0,0,0,0,0,1,0,-3.43E-21,0.004653461,0.004193171,-0.000843464,0.003234601,4.02E-17,0.003107783,-0.00015835,-0.0000348,0.000135001,-1.1E-20,0.000646926,0.00109768,0.013651463,-0.005092822,-1.77E-17,0.034724781,0.048854858,-0.14083321,0.187546387,0.288119952,-0.087235389,-0.102069242,0.186120544,-0.084509691,9.61E-22,0.054628605,0.047192936,0.002706364,0.005386855,0.004292488,-0.005107966,-0.000681553,-0.002016756,-0.001567555
8,8000000,1,en,6.712894,2,98,1,Released,14,11,3453043,0,0,1,0,0,0,1,0,2E-19,0.170747378,0.063067802,-0.037563892,0.017542253,3.42E-20,0.00000297,0.00000231,0.000000862,0.0000119,-1.93E-19,0.011219413,0.006352566,0.03245716,0.014409118,-2.1E-17,0.040910516,0.036748416,-0.109138023,-0.074058407,0.240062125,0.041313443,0.20124378,-0.045457401,0.053311497,2.83E-21,0.160942687,0.015038793,-0.01180794,0.146365086,0.00919412,-0.002431251,-0.003060533,0.001000287,-0.003120938
9,105000000,1,en,10.640864,1,105,1,Released,32,12,347434178,0,0,1,1,0,0,0,0,1.93E-19,0.252648338,-0.013441613,-0.011849934,0.031728629,1.68E-18,0.000137551,0.0000483,0.0000314,0.00000449,-3.55E-21,0.000207297,0.000242354,0.004848304,-0.001439633,-2.29E-17,0.04496228,0.061444156,-0.180490464,0.236641886,0.283540844,0.068974491,-0.003888037,0.031575917,-0.095308021,1.47E-21,0.083764265,0.08230686,-0.000794046,0.107512053,0.241456481,-0.090965206,-0.019801297,-0.02377106,-0.02065946
10,2500000,1,en,11.898793,2,99,2,Released,9,34,6341684,0,0,0,0,1,1,0,0,1.72E-19,0.153557539,0.021298001,-0.0195074,0.008825303,7.4E-20,0.00000632,0.00000417,0.000000983,0.0000424,-1.77E-19,0.010288611,0.007571815,0.016364076,0.004835032,-2.07E-17,0.040476441,0.042430687,-0.08366745,-0.090574359,0.198743741,0.014595107,0.038133756,0.027918471,0.077730819,2.64E-21,0.150203695,0.259498247,-0.03398926,-0.174747016,-2.5E-33,4.77E-25,1.41E-21,-1.18E-20,2.79E-20
11,0,1,fr,1.764981,3,90,3,Released,4,2,404,0,0,0,0,0,1,0,0,9.86E-20,0.024596254,0.019795946,0.008192947,0.009941302,-1.65E-22,0.000000886,0.00000667,-0.00000012,0.0000068,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,0.159719186,0.25287777,-0.065309963,-0.05304381,0.001567301,-99,-99,-99,-99,-99,0.00000186,0.0000404,0.000148785,0.000296852,0.000392344
12,135000000,-99,en,13.89018,1,121,5,Released,23,106,76932943,0,0,0,0,0,0,1,0,3.37E-19,0.261675645,0.095105962,-0.058831176,0.00858845,1.14E-16,0.010115486,0.009228436,0.003268678,-0.000112342,-2.61E-19,0.015097289,0.001812681,0.120263262,-0.035655893,-9.48E-18,0.018411062,0.010204759,-0.040080006,-0.00924396,0.101494676,-0.034679032,-0.033168287,-0.010632606,-0.030946258,2.82E-21,0.160304245,-0.103572549,-0.051024171,-0.046676023,-5.61E-33,-1.36E-25,5.01E-22,-3.39E-21,8.21E-21
13,15000000,-99,en,3.210693,1,189,1,Released,18,13,34562222,1,0,0,0,0,1,0,0,-1.13E-19,0.084615339,0.156366553,-0.07529091,-0.011633366,9.53E-17,0.00733079,-0.000589469,-0.000119208,-0.0000264,-5.54E-21,0.000323859,0.000392919,0.005419696,-0.001488457,-4.74E-19,0.000932442,0.0013853,-0.003165016,-0.002903798,0.197930051,0.002207298,-0.089592734,-0.053221396,-0.008643596,1.58E-21,0.089602965,-0.06533564,-0.037618069,-0.022226096,-5.95E-34,-1.12E-27,-1.21E-22,-2.96E-21,7.25E-21
14,163000000,1,en,10.958669,1,119,1,Released,23,127,174822325,0,0,0,0,1,0,1,0,1.42E-19,0.194534513,0.012425142,-0.000995898,0.074759639,2.76E-15,0.212546581,-0.015473469,-0.002236103,0.00193175,-7.98E-20,0.004644858,0.00327783,0.021287231,-0.00253241,-7.09E-18,0.013875823,0.015780267,-0.043159388,-0.02464968,0.224749921,-0.054499376,0.023729203,-0.071775806,0.07311815,4.94E-22,0.028076827,0.002613112,-0.005483898,0.013349721,0.005838644,-0.00646743,0.013900022,-0.001040436,-0.001914111
